'Sylas', 'Zac', 'Lissandra', 'Veigar', 'Jhin', 'Shyvana', 'Leona', 'Aurelion Sol', "Kog'Maw", 'Akali'
'Irelia', 'Zyra', 'Taliyah', 'Rakan', 'Lux', 'Fiddlesticks', 'Janna', 'Ahri', 'Sylas', 'Ashe'
'Amumu', 'Fiddlesticks', 'Gragas', 'Varus', 'Singed', 'Xerath', 'Morgana', 'Zed', 'Ornn', 'Illaoi'
'Kennen', 'Warwick', 'Akali', "Kai'Sa", 'Nautilus', 'Renekton', 'Olaf', 'Syndra', 'Ezreal', 'Soraka'
'Jayce', 'Ekko', 'Anivia', 'Vayne', 'Leona', 'Vladimir', 'Lee Sin', 'Karma', 'Yasuo', 'Gragas'
'Kled', 'Kayn', 'Orianna', "Kai'Sa", 'Rakan', 'Kayle', 'Xin Zhao', 'Pyke', 'Lucian', 'Nautilus'
'Jax', 'Karthus', 'Zed', 'Lucian', 'Janna', 'Fiora', 'Gragas', 'Syndra', 'Varus', 'Ashe'
'Jax', 'Elise', 'Anivia', 'Ashe', 'Janna', 'Pantheon', 'Nidalee', 'Vladimir', 'Ezreal', 'Nami'
'Aatrox', 'Elise', 'Galio', 'Lucian', 'Bard', 'Fiora', 'Nidalee', 'Sylas', 'Ezreal', 'Karma'
'Olaf', 'Karthus', 'Tristana', "Kai'Sa", 'Janna', 'Sylas', 'Lee Sin', 'Ryze', 'Ezreal', 'Blitzcrank'
'Mordekaiser', 'Ekko', 'Irelia', "Kai'Sa", 'Janna', 'Vladimir', 'Warwick', 'Talon', 'Varus', 'Blitzcrank'
'Darius', 'Ekko', 'Irelia', 'Vayne', 'Soraka', 'Mordekaiser', 'Gnar', 'Camille', 'Garen', 'Yuumi'
'Gangplank', 'Lee Sin', 'Qiyana', 'Ezreal', 'Nautilus', 'Lucian', 'Elise', 'Fizz', 'Xayah', 'Rakan'
'Irelia', 'Lee Sin', 'Galio', 'Xayah', 'Morgana', 'Kayle', 'Ekko', 'Jayce', "Kai'Sa", 'Thresh'
'Lucian', 'Lee Sin', 'Ryze', 'Miss Fortune', 'Leona', 'Irelia', 'Yuumi', 'Garen', "Kai'Sa", 'Alistar'
'Lucian', 'Ekko', 'Aatrox', 'Xayah', 'Blitzcrank', 'Kennen', "Kha'Zix", 'Irelia', 'Miss Fortune', 'Volibear'
'Fiora', 'Ekko', 'LeBlanc', 'Ezreal', 'Bard', 'Irelia', 'Elise', 'Vladimir', "Kai'Sa", 'Shen'
'Camille', 'Elise', 'Qiyana', 'Ezreal', 'Tahm Kench', 'Irelia', 'Shyvana', 'Ryze', 'Lucian', 'Zyra'
'Jax', 'Elise', 'Talon', "Kai'Sa", 'Thresh', 'Nasus', 'Nidalee', 'LeBlanc', 'Miss Fortune', 'Poppy'
'Jax', 'Nidalee', 'Neeko', 'Sivir', 'Thresh', 'Kennen', 'Elise', 'Katarina', 'Xayah', 'Nautilus'
'Pantheon', 'Zac', 'Annie', 'Ezreal', 'Leona', 'Rumble', 'Lee Sin', 'Pyke', 'Ashe', 'Janna'
'Gangplank', 'Lee Sin', 'Fizz', 'Twitch', 'Taric', 'Pantheon', 'Jarvan IV', 'Twisted Fate', "Kai'Sa", 'Zyra'
'Riven', 'Karthus', 'Lucian', 'Ezreal', 'Nautilus', 'Pantheon', 'Nidalee', 'LeBlanc', 'Xayah', 'Thresh'
'Pantheon', 'Nunu & Willump', 'Swain', 'Lucian', 'Pyke', 'Darius', 'Ekko', 'Qiyana', 'Xayah', 'Rakan'
'Pantheon', 'Taliyah', 'Akali', 'Lucian', 'Gragas', 'Twisted Fate', 'Rengar', 'Shen', 'Xayah', 'Alistar'
'Pantheon', 'Graves', 'Galio', 'Lucian', 'Fiddlesticks', 'Jayce', 'Elise', 'Jax', 'Ezreal', 'Alistar'
'Talon', 'Nidalee', 'Mordekaiser', 'Xayah', 'Thresh', 'Jax', 'Lee Sin', 'Sylas', 'Heimerdinger', 'Nautilus'
'Mordekaiser', 'Master Yi', 'Akali', 'Ashe', 'Nami', 'Camille', 'Gragas', 'Sylas', 'Ezreal', 'Malphite'
'Hecarim', 'Lee Sin', 'Galio', 'Tristana', 'Leona', 'Camille', 'Nidalee', 'Pantheon', 'Ezreal', 'Janna'
'Mordekaiser', 'Lee Sin', 'Galio', 'Xayah', 'Rakan', 'Rumble', 'Nidalee', 'Ahri', "Kai'Sa", 'Blitzcrank'
'Pantheon', 'Jarvan IV', 'Taliyah', 'Caitlyn', 'Blitzcrank', 'Sion', 'Xin Zhao', 'Orianna', 'Lucian', 'Braum'
'Pantheon', 'Olaf', 'Ahri', 'Lucian', 'Braum', 'Jayce', 'Nidalee', 'Aatrox', "Kai'Sa", 'Thresh'
'Sylas', 'Ekko', 'Mordekaiser', 'Lucian', 'Yuumi', 'Nunu & Willump', 'Neeko', 'Nami', 'Brand', 'Vayne'
'Renekton', 'Lee Sin', 'Taliyah', "Kai'Sa", 'Bard', 'Aatrox', 'Nidalee', 'Mordekaiser', 'Lucian', 'Leona'
'Yasuo', 'Karthus', 'Vladimir', 'Draven', 'Bard', 'Mordekaiser', 'Lee Sin', 'Fizz', 'Ashe', 'Nami'
'Kindred', 'Kayle', 'Irelia', 'Jayce', 'Rumble', 'Sylas', 'Janna', 'Jax', 'Jinx', 'Teemo'
'Teemo', 'Ezreal', 'Pantheon', 'Rammus', 'Lulu', 'Jax', 'Lee Sin', 'Ahri', 'Yasuo', 'Morgana'
'Vayne', 'Yuumi', 'Shaco', 'Annie', 'Graves', "Cho'Gath", 'Sylas', 'Vladimir', 'Xayah', 'Rakan'
'Graves', "Kai'Sa", 'Sylas', 'Neeko', 'Xerath', 'Nasus', 'Ezreal', 'LeBlanc', 'Anivia', 'Ziggs'
'Yasuo', 'Azir', 'Amumu', 'Twisted Fate', 'Kennen', 'Galio', 'Twitch', 'Yorick', 'Ashe', 'Camille'
'Hecarim', 'Fiddlesticks', 'Zoe', 'Lucian', "Cho'Gath", 'Malphite', 'Sona', 'Sivir', 'Diana', 'Pantheon'
'Quinn', 'Gragas', 'LeBlanc', "Kai'Sa", 'Thresh', 'Lucian', 'Lee Sin', 'Lissandra', 'Ezreal', 'Blitzcrank'
'Morgana', 'Rengar', 'Syndra', 'Caitlyn', 'Karthus', 'Ashe', 'Thresh', 'Vladimir', 'Irelia', 'Sona'
'Irelia', 'Malphite', 'Orianna', "Rek'Sai", 'Tryndamere', 'Caitlyn', 'Taric', 'Master Yi', 'Miss Fortune', 'Volibear'
'Gangplank', 'Lee Sin', 'Lucian', 'Xayah', 'Xerath', 'Malphite', 'Ekko', 'Vladimir', 'Ezreal', 'Leona'
'Ekko', "Rek'Sai", 'Akali', 'Caitlyn', 'Morgana', 'Vladimir', 'Kayn', 'Talon', 'Lucian', 'Thresh'
'Lucian', 'Lee Sin', 'Anivia', 'Caitlyn', 'Lux', 'Tristana', "Rek'Sai", 'Kayle', 'Ashe', 'Janna'
'Renekton', 'Karthus', 'Qiyana', "Kai'Sa", 'Galio', 'Kayle', 'Elise', 'Zoe', 'Ezreal', 'Karma'
'Kayle', 'Olaf', 'Galio', 'Ashe', 'Leona', 'LeBlanc', 'Sejuani', 'Teemo', "Kai'Sa", 'Janna'
'Vladimir', 'Rengar', 'LeBlanc', 'Xayah', 'Fiddlesticks', 'Shen', 'Taliyah', 'Katarina', 'Miss Fortune', 'Thresh'
'Ryze', 'Olaf', 'Zed', 'Xayah', 'Yuumi', 'Camille', 'Lee Sin', 'Xerath', 'Sivir', 'Pyke'
'Aatrox', 'Rengar', 'Viktor', "Kai'Sa", 'Volibear', 'Kennen', 'Lee Sin', 'Ezreal', 'Xayah', 'Shen'
'Twitch', 'Singed', 'Elise', 'Ezreal', 'Nami', 'Gangplank', "Rek'Sai", 'Zoe', 'Lucian', 'Leona'
'Renekton', 'Olaf', 'Galio', 'Heimerdinger', 'Morgana', 'Vladimir', "Rek'Sai", 'Twisted Fate', 'Lucian', 'Thresh'
'Irelia', 'Shyvana', 'Annie', 'Lucian', 'Volibear', 'Ryze', 'Lee Sin', 'Jayce', 'Kalista', 'Thresh'
'Neeko', 'Olaf', 'Galio', 'Lucian', 'Janna', 'Vladimir', 'Qiyana', 'Vayne', "Kai'Sa", 'Nautilus'
'Jax', 'Nidalee', 'Ezreal', 'Varus', 'Braum', 'Renekton', 'Ekko', 'Orianna', "Kai'Sa", 'Pyke'
'Aatrox', 'Karthus', 'Zed', "Kai'Sa", 'Zyra', 'Renekton', 'Nidalee', 'Qiyana', 'Xayah', 'Janna'
'Renekton', 'Lee Sin', 'Zoe', 'Heimerdinger', 'Alistar', 'Gangplank', 'Karthus', 'Twisted Fate', "Kai'Sa", 'Bard'
'Renekton', 'Taliyah', 'Sylas', 'Ezreal', 'Pyke', 'Lucian', 'Karthus', 'Syndra', 'Draven', 'Thresh'
'Rumble', "Kha'Zix", 'Galio', "Kai'Sa", 'Bard', 'Fiora', 'Lee Sin', 'Twisted Fate', 'Jinx', 'Nautilus'
'Camille', 'Elise', 'Vladimir', "Kai'Sa", 'Blitzcrank', 'Renekton', 'Lee Sin', 'Twisted Fate', 'Lucian', 'Nautilus'
'Fiora', 'Nidalee', 'LeBlanc', 'Xayah', 'Rakan', 'Pyke', 'Kindred', 'Vladimir', 'Miss Fortune', 'Braum'
'Renekton', 'Lee Sin', 'Pantheon', 'Xayah', 'Rakan', 'Yasuo', 'Nunu & Willump', 'Viktor', 'Jhin', 'Zyra'
'Renekton', 'Rengar', 'Ryze', 'Xayah', 'Rakan', 'Darius', 'Karthus', 'Mordekaiser', 'Lucian', 'Fiddlesticks'
'Renekton', 'Lee Sin', 'Ryze', 'Lucian', 'Janna', 'Jayce', 'Gragas', 'Sylas', "Kai'Sa", 'Volibear'
'Renekton', 'Nidalee', 'Qiyana', 'Miss Fortune', 'Braum', 'Lucian', 'Kindred', 'Galio', "Kai'Sa", 'Nautilus'
'Sylas', 'Gragas', 'Talon', "Kai'Sa", 'Pyke', 'Pantheon', 'Ekko', 'Akali', 'Miss Fortune', 'Nautilus'
'Rumble', 'Nidalee', 'Irelia', "Kai'Sa", 'Nautilus', 'Rengar', 'Ekko', 'Pantheon', 'Ezreal', 'Pyke'
'Kayle', 'Nidalee', 'Irelia', 'Ezreal', 'Pyke', 'Vladimir', 'Olaf', 'Akali', "Kai'Sa", 'Thresh'
'Renekton', 'Taliyah', 'Camille', 'Miss Fortune', 'Morgana', 'Mordekaiser', 'Ekko', 'Qiyana', 'Jinx', 'Karma'
'Jax', 'Nidalee', 'Qiyana', 'Ezreal', 'Leona', 'Riven', 'Karthus', 'LeBlanc', "Kai'Sa", 'Volibear'
'Pantheon', 'Ekko', 'Lux', 'Kalista', 'Blitzcrank', 'Olaf', 'Elise', 'Zoe', "Kai'Sa", 'Alistar'
'Gangplank', 'Nidalee', 'Ryze', 'Lucian', 'Thresh', 'Ornn', 'Poppy', 'Zoe', 'Ezreal', 'Rakan'
'Rumble', 'Karthus', 'Renekton', 'Yasuo', 'Gragas', 'Ryze', 'Nocturne', 'Qiyana', 'Ashe', 'Rakan'
'Irelia', "Kha'Zix", 'Ryze', "Kai'Sa", 'Karma', 'Gangplank', 'Nidalee', "Vel'Koz", 'Lucian', 'Yuumi'
'Irelia', 'Ekko', 'Talon', 'Vayne', 'Fiddlesticks', 'Gangplank', 'Kayn', "Kai'Sa", 'Garen', 'Gragas'
'Shen', 'Kindred', 'Lulu', "Kai'Sa", 'Leona', 'Renekton', 'Taliyah', 'Garen', 'Xayah', 'Rakan'
'Garen', 'Jarvan IV', 'Anivia', 'Lucian', 'Morgana', 'Camille', 'Karthus', 'Viktor', 'Rengar', 'Soraka'
'Pyke', 'Ekko', 'Kayle', 'Jinx', 'Thresh', 'Garen', 'Lee Sin', 'Akali', 'Ezreal', 'Bard'
'Renekton', 'Taliyah', 'Vayne', 'Ashe', 'Blitzcrank', 'Garen', 'Nidalee', 'Talon', 'Miss Fortune', 'Leona'
'Pantheon', 'Kindred', 'Vladimir', 'Xayah', 'Braum', 'Garen', 'Ivern', 'Lissandra', 'Miss Fortune', 'Fiddlesticks'
'Aatrox', 'Ekko', 'Renekton', 'Ezreal', 'Lux', 'Lissandra', 'Lee Sin', 'Kennen', 'Lucian', 'Rakan'
'Ryze', 'Taliyah', 'Zed', 'Kalista', 'Pyke', 'Garen', "Kha'Zix", 'Xerath', 'Ezreal', 'Morgana'
'Garen', 'Lee Sin', 'Syndra', "Kai'Sa", 'Volibear', 'Kayle', 'Nidalee', 'Annie', 'Ezreal', 'Tahm Kench'
'Garen', 'Taliyah', 'Qiyana', 'Jinx', 'Nautilus', 'Jax', 'Lee Sin', 'Galio', "Kai'Sa", 'Braum'
'Irelia', 'Nidalee', 'Twisted Fate', "Kai'Sa", 'Brand', 'Ryze', 'Lee Sin', 'Pantheon', 'Varus', 'Zyra'
'Aatrox', 'Nocturne', 'Yasuo', 'LeBlanc', 'Shaco', 'Garen', 'Lee Sin', 'Irelia', "Kai'Sa", "Vel'Koz"
'Darius', 'Sylas', 'Garen', 'Sivir', 'Thresh', 'Fiora', 'Lee Sin', 'Ahri', 'Jinx', 'Lulu'
'Skarner', 'Yasuo', 'Galio', 'Ezreal', 'Nunu & Willump', 'Garen', 'Gragas', 'Yasuo', "Kai'Sa", 'Thresh'
'Darius', 'Jarvan IV', 'LeBlanc', "Kai'Sa", 'Morgana', 'Zilean', 'Hecarim', 'Ekko', "Kai'Sa", 'Thresh'
'Mordekaiser', 'Lee Sin', 'Zoe', 'Lucian', 'Blitzcrank', 'Kled', 'Hecarim', 'Jarvan IV', 'Ashe', 'Blitzcrank'
'Pantheon', 'Shaco', 'Cassiopeia', 'Yasuo', 'Alistar', 'Fiora', 'Graves', 'Ekko', "Kai'Sa", 'Nautilus'
'Pantheon', 'Garen', 'LeBlanc', 'Vayne', 'Thresh', 'Karma', 'Lee Sin', 'Yasuo', "Kai'Sa", 'Nautilus'
'Ornn', 'Jarvan IV', 'Sylas', 'Caitlyn', 'Lux', 'Darius', 'Camille', 'Pantheon', "Kai'Sa", 'Miss Fortune'
'Renekton', 'Xin Zhao', 'Ezreal', 'Caitlyn', 'Morgana', 'Garen', 'Shaco', 'Yasuo', "Kai'Sa", 'Graves'
'Renekton', 'Garen', 'Fiora', 'Ezreal', 'Leona', 'Ezreal', 'Jarvan IV', 'Sylas', 'Draven', 'Pyke'
'Fiora', 'Jax', 'Sylas', 'Caitlyn', 'Pyke', 'Darius', 'Ekko', 'Ziggs', 'Sivir', 'Nautilus'
'Renekton', 'Kayle', 'Yasuo', 'Jinx', 'Malphite', 'Pyke', 'Kayn', 'Viktor', 'Thresh', 'Blitzcrank'
'Jax', 'Ekko', 'Qiyana', 'Ezreal', 'Leona', 'Riven', 'Kindred', 'Ahri', 'Jinx', 'Morgana'
'Pyke', 'Amumu', 'Shyvana', 'Ezreal', 'Pantheon', 'Vladimir', 'Singed', 'Vayne', 'Ashe', 'Thresh'
'Irelia', 'Ekko', 'Syndra', 'Ashe', 'Leona', 'Mordekaiser', 'Lee Sin', 'Qiyana', 'Jinx', 'Xerath'
'Akali', 'Shyvana', 'Qiyana', 'Draven', 'Shen', 'Rengar', 'Taliyah', 'Talon', 'Ezreal', 'Alistar'
'Talon', 'Karthus', 'Annie', 'Draven', 'Nautilus', 'Fiora', 'Olaf', 'Zoe', 'Ashe', 'Zyra'
'Renekton', 'Nidalee', 'Irelia', "Kai'Sa", 'Leona', 'Vladimir', 'Karthus', 'Qiyana', 'Ashe', 'Nautilus'
'Poppy', 'Qiyana', 'Ekko', 'Ezreal', 'Fiddlesticks', 'Irelia', 'Zac', 'Sylas', 'Draven', 'Morgana'
'Kayle', 'Lee Sin', 'Yasuo', 'Lucian', 'Nautilus', 'Tryndamere', 'Gragas', 'Shyvana', "Kai'Sa", 'Morgana'
'Vladimir', 'Ekko', 'Pyke', 'Jinx', 'Blitzcrank', 'Aatrox', 'Hecarim', 'Talon', 'Miss Fortune', 'Bard'
'Shen', 'Karthus', 'Qiyana', 'Ashe', 'Braum', 'Jax', 'Xin Zhao', 'Katarina', "Kai'Sa", 'Leona'
'Camille', 'Ekko', 'Qiyana', "Kai'Sa", 'Nautilus', 'Ryze', 'Nidalee', 'Lucian', 'Ezreal', 'Lux'
'Swain', 'Galio', 'Sylas', 'Rammus', 'Caitlyn', "Kha'Zix", 'Veigar', 'Thresh', 'Teemo', 'Gangplank'
'Vladimir', 'Lee Sin', 'Ahri', "Kai'Sa", 'Alistar', 'Kled', 'Ekko', 'Ryze', 'Jinx', 'Nautilus'
'Akali', 'Lee Sin', 'Fizz', 'Lucian', 'Thresh', 'Garen', 'Skarner', 'Annie', "Kai'Sa", 'Nautilus'
'Garen', 'Karthus', 'Jayce', 'Miss Fortune', 'Nautilus', 'Fiora', "Kha'Zix", 'Zoe', 'Ashe', 'Thresh'
'Katarina', "Kha'Zix", 'Renekton', 'Ezreal', 'Leona', 'Kayle', 'Lee Sin', 'Kassadin', 'Lucian', 'Gragas'
'Vladimir', 'Lee Sin', 'Ryze', 'Xayah', 'Leona', 'Camille', 'Ekko', 'Twisted Fate', "Kai'Sa", 'Pyke'
'Camille', 'Xin Zhao', 'Viktor', "Kai'Sa", 'Braum', 'Poppy', 'Ekko', "Cho'Gath", 'Yasuo', 'Nautilus'
'Tryndamere', 'Lee Sin', 'Akali', 'Ashe', 'Thresh', 'Vladimir', 'Elise', 'Jayce', 'Ezreal', 'Leona'
'Lucian', "Rek'Sai", 'Vladimir', 'Vayne', 'Rakan', 'Mordekaiser', 'Ivern', 'Twisted Fate', 'Xayah', 'Alistar'
'Olaf', 'Lee Sin', 'Pantheon', 'Ezreal', 'Thresh', 'Jayce', 'Taliyah', 'Galio', "Kai'Sa", 'Morgana'
'Kled', 'Karthus', 'Zoe', 'Ezreal', 'Morgana', 'Illaoi', 'Ekko', 'Vladimir', "Kai'Sa", 'Nautilus'
'Kennen', 'Lee Sin', 'Ryze', 'Draven', 'Galio', 'Renekton', 'Nidalee', 'Akali', 'Ezreal', 'Braum'
'Swain', 'Nunu & Willump', 'Kayle', "Kai'Sa", 'Leona', 'Vladimir', 'Poppy', 'Lucian', 'Ashe', 'Xerath'
'Jax', 'Kled', 'Lux', "Kai'Sa", 'Pyke', 'Camille', 'Taliyah', 'Heimerdinger', 'Jhin', 'Shaco'
'Riven', 'Shyvana', 'Lissandra', 'Ezreal', 'Yuumi', 'Jax', 'Amumu', 'Lux', 'Ashe', 'Karma'
'Lucian', 'Nunu & Willump', 'Sylas', 'Xayah', 'Xerath', 'Gangplank', 'Jax', 'LeBlanc', 'Teemo', 'Blitzcrank'
'Jax', 'Elise', 'Kled', 'Ashe', 'Ahri', 'Shen', 'Graves', 'Veigar', 'Jinx', 'Blitzcrank'
'Jax', 'Amumu', 'Cassiopeia', 'Caitlyn', 'Lux', 'Darius', 'Elise', 'Diana', 'Jhin', 'Thresh'
'Dr. Mundo', 'Lee Sin', 'Orianna', 'Jhin', 'Lux', 'Aatrox', 'Elise', 'Azir', 'Miss Fortune', 'Xerath'
'Kled', 'Elise', 'Dr. Mundo', 'Tristana', 'Lux', 'Poppy', 'Fiddlesticks', 'Ekko', 'Ashe', 'Leona'
'Ziggs', 'Lee Sin', 'Heimerdinger', 'Ezreal', 'Blitzcrank', 'Dr. Mundo', 'Elise', 'Taliyah', 'Xayah', 'Lux'
'Vladimir', 'Xin Zhao', 'Lux', 'Varus', 'Lulu', 'Dr. Mundo', 'Elise', 'Cassiopeia', 'Jinx', 'Thresh'
'Thresh', 'Mordekaiser', "Kog'Maw", 'Azir', 'Trundle', 'Lux', 'Nunu & Willump', 'Riven', 'Morgana', 'Garen'
'Zilean', 'Kayle', 'Yasuo', 'Gangplank', 'Riven', 'Shyvana', 'Karma', 'Ashe', 'Veigar', 'Sivir'
'Blitzcrank', "Kha'Zix", 'Azir', 'Malphite', 'Kalista', 'Irelia', 'Sona', 'LeBlanc', 'Nidalee', 'Nasus'
'LeBlanc', 'Neeko', 'Garen', 'Xerath', 'Twitch', 'Ezreal', 'Xayah', 'Kalista', 'Tahm Kench', 'Lux'
'Jax', 'Nidalee', 'Renekton', "Kai'Sa", 'Thresh', 'Ryze', 'Jarvan IV', 'Ahri', 'Xayah', 'Rakan'
'Heimerdinger', 'Taliyah', 'Aatrox', 'Sivir', 'Thresh', 'Sylas', 'Sejuani', 'Ahri', 'Ashe', 'Shen'
'Fiora', 'Poppy', 'Vladimir', 'Caitlyn', 'Morgana', 'Renekton', 'Elise', 'Taliyah', 'Ezreal', 'Yuumi'
'Darius', 'Ekko', 'Zed', 'Jinx', 'Thresh', 'Renekton', 'Elise', 'Ahri', 'Lucian', 'Yuumi'
'Darius', 'Ekko', 'Riven', 'Ezreal', 'Blitzcrank', 'Galio', 'Lee Sin', 'Yasuo', 'Caitlyn', 'Blitzcrank'
'Kayn', 'Ashe', 'Rakan', 'Caitlyn', 'Karthus', 'Ekko', 'Fiddlesticks', 'Lux', 'Veigar', 'Malphite'
'Amumu', 'Taric', 'Ezreal', 'Sona', 'Azir', 'LeBlanc', 'Jhin', 'Neeko', 'Aatrox', 'Fiora'
'Hecarim', 'Amumu', 'LeBlanc', 'Miss Fortune', 'Nautilus', 'Akali', 'Xin Zhao', 'Ahri', 'Lucian', 'Morgana'
'Heimerdinger', 'Lee Sin', 'Syndra', 'Ashe', 'Yuumi', 'Vladimir', 'Xin Zhao', 'Taliyah', 'Lucian', 'Gragas'
'Kennen', "Kha'Zix", 'Twisted Fate', 'Sivir', 'Swain', 'Renekton', 'Taliyah', 'Irelia', 'Ezreal', 'Alistar'
'Kayle', 'Ekko', 'Tristana', 'Sivir', 'Thresh', 'Malphite', 'Olaf', 'Twisted Fate', 'Ashe', 'Swain'
'Kayle', "Rek'Sai", 'Rumble', 'Varus', 'Swain', 'Jayce', 'Shyvana', 'Ezreal', 'Miss Fortune', 'Sona'
'Jax', 'Nunu & Willump', 'Twisted Fate', 'Jinx', 'Morgana', 'Mordekaiser', 'Lee Sin', 'Sylas', "Kai'Sa", 'Leona'
'Tryndamere', 'Elise', 'Jayce', 'Xayah', 'Rakan', 'Kayle', 'Lee Sin', 'LeBlanc', 'Lucian', 'Swain'
'Jayce', 'Nunu & Willump', 'Aatrox', 'Jhin', 'Swain', 'Kayle', 'Karthus', 'Ezreal', 'Twitch', 'Zilean'
'Sylas', 'Jarvan IV', 'Katarina', 'Lucian', 'Swain', 'Akali', 'Nidalee', 'Qiyana', "Kai'Sa", 'Bard'
'Aatrox', 'Evelynn', 'Vladimir', 'Xayah', 'Bard', 'Pantheon', 'Elise', 'Cassiopeia', 'Varus', 'Swain'
'Kennen', 'Shyvana', 'Syndra', 'Jinx', 'Karma', 'Vladimir', 'Lee Sin', 'Qiyana', 'Xayah', 'Rakan'
'Jayce', 'Sylas', 'Akali', 'Ezreal', 'Gragas', 'Camille', 'Elise', 'Zoe', 'Xayah', 'Swain'
'Poppy', 'Olaf', 'Ryze', 'Ezreal', 'Morgana', 'Pantheon', 'Lee Sin', 'Ekko', 'Xayah', 'Pyke'
'Jax', 'Kindred', 'Camille', 'Miss Fortune', 'Zyra', 'Shen', 'Olaf', 'Aurelion Sol', 'Ezreal', 'Swain'
'Maokai', 'Lee Sin', 'Corki', 'Jhin', 'Lulu', 'Mordekaiser', 'Malphite', 'Lissandra', 'Miss Fortune', 'Pyke'
"Cho'Gath", 'Gragas', 'Olaf', 'Vayne', 'Soraka', 'Maokai', 'Kayn', 'Viktor', 'Jhin', 'Nami'
'Ryze', 'Jax', 'Akali', 'Ashe', 'Thresh', 'Maokai', 'Ekko', 'Fiora', "Kai'Sa", 'Janna'
'Garen', 'Rengar', 'Kayle', 'Jinx', 'Bard', 'Volibear', 'Garen', 'Ryze', 'Ezreal', 'Blitzcrank'
'Darius', 'Nunu & Willump', 'Zilean', 'Lucian', 'Blitzcrank', 'Volibear', 'Garen', 'Kayle', 'Ashe', 'Karma'
'Sivir', 'Vladimir', 'Veigar', 'Dr. Mundo', 'Malphite', 'Lee Sin', 'Neeko', 'Ahri', 'Kennen', 'Yasuo'
'Bard', 'Cassiopeia', 'Sona', 'Elise', 'Poppy', "Cho'Gath", 'Taliyah', 'Lux', 'Nautilus', 'Riven'
'Kassadin', 'Nasus', 'Xayah', 'Yasuo', 'Ryze', 'Kennen', 'Karma', 'Hecarim', 'Zed', 'Lucian'
'Fiora', 'Nidalee', 'Zoe', 'Vayne', 'Janna', 'Ryze', 'Taliyah', 'Qiyana', "Kai'Sa", 'Nautilus'
'Gangplank', 'Lee Sin', 'Ezreal', 'Xayah', 'Rakan', 'Corki', 'Ekko', 'Zoe', "Kai'Sa", 'Bard'
'Fiora', 'Lee Sin', 'Qiyana', "Kai'Sa", 'Nautilus', 'Ryze', 'Camille', 'Galio', 'Lucian', 'Leona'
'Tristana', 'Jarvan IV', 'Viktor', 'Ezreal', 'Soraka', 'Kayle', 'Karthus', 'Quinn', 'Draven', 'Blitzcrank'
'Kennen', 'Lee Sin', 'Yasuo', 'Caitlyn', 'Soraka', 'Darius', 'Ekko', 'Viktor', 'Kalista', 'Gragas'
'Quinn', "Rek'Sai", 'Tristana', 'Ezreal', 'Bard', 'Kennen', 'Lee Sin', 'Rumble', 'Jinx', 'Janna'
'Garen', 'Zac', 'Katarina', "Kai'Sa", 'Thresh', 'Jax', 'Lee Sin', 'LeBlanc', 'Ezreal', 'Janna'
'Jax', 'Jarvan IV', 'Anivia', "Kai'Sa", 'Thresh', 'Kayle', 'Lee Sin', 'Cassiopeia', 'Lucian', 'Nautilus'
'Jax', 'Lee Sin', 'Akali', 'Lucian', 'Swain', 'Camille', 'Nunu & Willump', 'Ryze', "Kai'Sa", 'Pyke'
'Camille', 'Lee Sin', 'Aatrox', 'Heimerdinger', 'Xerath', 'Jax', "Rek'Sai", 'Irelia', 'Varus', 'Fiddlesticks'
'Camille', 'Qiyana', "Cho'Gath", "Kai'Sa", 'Leona', 'Jayce', 'Ekko', 'Zoe', 'Yasuo', 'Alistar'
'Irelia', 'Lee Sin', 'LeBlanc', 'Jinx', 'Nautilus', 'Aatrox', 'Shyvana', 'Zoe', 'Lucian', 'Gragas'
'Irelia', 'Lee Sin', 'LeBlanc', "Kai'Sa", 'Blitzcrank', 'Renekton', 'Gragas', 'Talon', 'Lucian', 'Janna'
'Camille', 'Xin Zhao', 'Yasuo', "Kai'Sa", 'Nautilus', 'Kayle', 'Pantheon', 'Vladimir', 'Vayne', 'Morgana'
'Camille', 'Taliyah', 'Miss Fortune', "Kai'Sa", 'Nautilus', 'Fiora', 'Gragas', 'Lucian', 'Kayle', 'Morgana'
'Camille', 'Nidalee', 'Nocturne', 'Vladimir', 'Blitzcrank', 'Renekton', 'Ekko', 'Qiyana', 'Ezreal', 'Bard'
'Kayle', 'Qiyana', 'Twisted Fate', 'Lucian', 'Volibear', 'Jax', 'Lee Sin', 'LeBlanc', "Kai'Sa", 'Janna'
'Tristana', 'Shyvana', 'Jayce', "Kai'Sa", 'Leona', 'Ezreal', 'Nidalee', 'Kennen', 'Lucian', 'Gragas'
'Aatrox', 'Lee Sin', 'Twisted Fate', "Kai'Sa", 'Blitzcrank', 'Renekton', 'Dr. Mundo', 'Taliyah', 'Lucian', 'Thresh'
'Aatrox', 'Olaf', 'Karma', 'Neeko', 'Jarvan IV', 'Kled', 'Nidalee', 'Ekko', "Kai'Sa", 'Nautilus'
'Sivir', 'Zed', 'Kayn', 'Olaf', 'Syndra', 'Akali', 'Ziggs', 'Jarvan IV', 'Garen', 'Shen'
'Fiora', 'Nidalee', 'Qiyana', 'Ezreal', 'Nautilus', 'Camille', "Rek'Sai", 'Renekton', "Kai'Sa", 'Thresh'
