'Galio', 'Janna', 'Vayne', 'Sona', 'Karma', 'Ezreal', 'Tryndamere', 'Skarner', 'Nidalee', 'Ziggs'
'Garen', 'Lee Sin', 'Nocturne', "Kai'Sa", 'Blitzcrank', 'Kled', 'Nidalee', 'Lucian', 'Ashe', 'Galio'
'Heimerdinger', 'Karthus', 'Ornn', "Kai'Sa", 'Alistar', 'Akali', 'Lee Sin', 'Katarina', 'Ezreal', 'Rakan'
'Kennen', 'Evelynn', 'Qiyana', 'Lucian', 'Nami', 'Riven', 'Lee Sin', 'Ekko', "Kai'Sa", 'Nautilus'
'Riven', 'Nidalee', 'Jayce', 'Ezreal', 'Lux', 'Pantheon', 'Ekko', 'Cassiopeia', 'Xayah', 'Lulu'
'Renekton', 'Elise', 'Twisted Fate', 'Jinx', 'Thresh', 'Tristana', 'Nidalee', 'Jax', 'Ezreal', 'Tahm Kench'
'Gangplank', 'Ekko', 'Camille', 'Lucian', 'Thresh', 'Vladimir', 'Lee Sin', 'Katarina', 'Draven', 'Blitzcrank'
'Kled', 'Jarvan IV', 'Pyke', 'Tristana', 'Blitzcrank', 'Vayne', 'Ekko', 'Ryze', 'Xayah', 'Rakan'
'Teemo', 'Ekko', 'Taliyah', 'Ezreal', 'Bard', 'Vladimir', 'Lee Sin', 'Renekton', "Kai'Sa", 'Nautilus'
'Volibear', 'Jarvan IV', 'Yasuo', 'Kalista', 'Yuumi', 'Pantheon', 'Lee Sin', 'Jax', 'Ezreal', 'Sylas'
'Fizz', 'Zilean', "Kai'Sa", 'Hecarim', 'Tristana', 'Miss Fortune', 'Lux', 'Nidalee', 'Lee Sin', 'Teemo'
'Lucian', 'Lulu', 'Cassiopeia', 'Pantheon', 'Lux', 'Morgana', 'Ezreal', 'Malphite', 'Xerath', 'Illaoi'
'Viktor', 'Vi', 'Renekton', 'Caitlyn', 'Morgana', 'Aatrox', 'Jarvan IV', 'Syndra', "Kai'Sa", 'Leona'
'Karma', 'Lee Sin', 'Rumble', 'Xayah', "Vel'Koz", 'Diana', 'Elise', 'Lucian', 'Ezreal', 'Zyra'
'Rammus', 'Lee Sin', 'Ahri', 'Lucian', "Vel'Koz", 'Renekton', 'Taliyah', 'Katarina', "Kai'Sa", 'Blitzcrank'
'Kennen', 'Nidalee', 'Garen', 'Jinx', 'Thresh', 'Heimerdinger', 'Jarvan IV', 'Vladimir', "Kai'Sa", 'Nautilus'
'Renekton', 'Shyvana', 'Talon', 'Lucian', 'Blitzcrank', 'Fiora', 'Ekko', 'Twisted Fate', 'Jinx', 'Thresh'
'Jinx', "Kog'Maw", 'Zyra', 'Darius', 'Lux', 'Annie', 'Talon', 'Nidalee', 'Thresh', 'Ezreal'
'Akali', 'Olaf', 'Yasuo', 'Ezreal', 'Yuumi', 'Mordekaiser', 'Dr. Mundo', 'Ryze', 'Vayne', 'Zyra'
'Rengar', 'Xin Zhao', 'LeBlanc', 'Kalista', 'Zyra', 'Jayce', 'Nocturne', 'Syndra', "Kai'Sa", 'Thresh'
'Aatrox', 'Lee Sin', 'Akali', 'Caitlyn', 'Lulu', 'Kayle', 'Amumu', "Vel'Koz", 'Lucian', 'Zyra'
'Aatrox', 'Lee Sin', 'Irelia', 'Ezreal', 'Karma', 'Tristana', 'Elise', 'Kayle', 'Vayne', 'Zyra'
'Dr. Mundo', "Rek'Sai", 'Yasuo', "Kai'Sa", 'Blitzcrank', 'Garen', 'Lee Sin', 'LeBlanc', 'Heimerdinger', 'Zyra'
'Camille', 'Lee Sin', 'Aurelion Sol', 'Heimerdinger', 'Zyra', 'Fiora', 'Karthus', 'Kassadin', 'Ezreal', 'Bard'
'Jax', "Kha'Zix", 'Akali', 'Heimerdinger', 'Zyra', 'Kennen', 'Lee Sin', 'Galio', 'Xayah', 'Morgana'
'Olaf', 'Taliyah', 'Pantheon', 'Heimerdinger', 'Zyra', 'Shen', 'Elise', 'Ezreal', 'Jinx', "Vel'Koz"
'Tristana', "Rek'Sai", 'Irelia', 'Heimerdinger', 'Zyra', 'Fiora', 'Lee Sin', 'Orianna', "Kai'Sa", 'Leona'
'Irelia', "Rek'Sai", 'Zoe', 'Twitch', 'Yuumi', 'Jax', 'Lee Sin', 'Ekko', 'Heimerdinger', 'Zyra'
'Tristana', 'Gragas', 'Riven', "Kai'Sa", 'Thresh', 'Orianna', 'Lee Sin', 'Mordekaiser', 'Lucian', 'Nautilus'
'Vladimir', 'Evelynn', 'Syndra', 'Lucian', 'Pyke', 'Riven', 'Lee Sin', 'LeBlanc', 'Ezreal', 'Thresh'
'Riven', 'Gragas', 'Aatrox', 'Ezreal', 'Thresh', 'Taric', 'Ekko', 'Jayce', "Kai'Sa", 'Nami'
'Kennen', 'Xin Zhao', 'Fizz', 'Swain', 'Thresh', 'Gangplank', 'Elise', 'Riven', 'Ashe', 'Pyke'
'Yasuo', 'Olaf', 'Taliyah', 'Ashe', 'Nautilus', 'Riven', "Rek'Sai", 'Aurelion Sol', 'Ezreal', 'Gragas'
'Quinn', 'Zac', 'Katarina', 'Ezreal', 'Morgana', 'Renekton', "Rek'Sai", 'Aurelion Sol', "Kai'Sa", 'Thresh'
'Fiora', 'Poppy', 'Ekko', 'Jinx', 'Thresh', 'Gangplank', 'Xin Zhao', 'Zed', 'Ezreal', 'Yuumi'
'Kennen', 'Lee Sin', 'Lissandra', 'Ezreal', 'Rakan', 'Aatrox', 'Nidalee', "Vel'Koz", 'Ashe', 'Thresh'
'Gangplank', 'Karthus', 'Katarina', 'Lucian', 'Jarvan IV', "Cho'Gath", 'Nunu & Willump', 'Aurelion Sol', "Kai'Sa", 'Thresh'
'Shen', 'Lee Sin', 'Yasuo', 'Draven', 'Blitzcrank', 'Vayne', 'Jarvan IV', 'Aurelion Sol', "Kai'Sa", 'Thresh'
'Kennen', 'Lee Sin', 'LeBlanc', "Kai'Sa", 'Thresh', 'Ryze', "Rek'Sai", 'Syndra', 'Ezreal', 'Bard'
'Taliyah', 'Nidalee', 'Akali', "Kai'Sa", 'Pyke', 'Jayce', 'Gragas', 'Zoe', 'Vayne', 'Thresh'
'Karma', "Kha'Zix", 'Vladimir', 'Jinx', 'Thresh', 'Aatrox', 'Elise', 'Ryze', 'Miss Fortune', 'Pyke'
'Teemo', 'Hecarim', 'Aatrox', 'Xayah', 'Karma', 'Kled', 'Graves', 'Corki', "Kai'Sa", 'Rakan'
'Akali', 'Kindred', 'Sylas', 'Draven', 'Blitzcrank', 'Darius', 'Nunu & Willump', 'Kayle', 'Jinx', 'Thresh'
'Pantheon', 'Zac', 'Akali', 'Tristana', 'Nautilus', 'Kled', 'Kayn', 'Anivia', 'Miss Fortune', 'Soraka'
'Fiora', "Rek'Sai", "Vel'Koz", 'Draven', 'Leona', 'Riven', 'Lee Sin', 'LeBlanc', 'Jinx', 'Thresh'
'Miss Fortune', 'Lee Sin', 'Vladimir', 'Lucian', 'Nautilus', 'Aatrox', 'Ekko', 'Ryze', 'Draven', 'Fiddlesticks'
'Kennen', 'Lee Sin', 'Yasuo', 'Caitlyn', 'Soraka', 'Darius', 'Ekko', 'Viktor', 'Kalista', 'Gragas'
'Malzahar', 'Ekko', 'Qiyana', 'Caitlyn', 'Soraka', 'Kayle', 'Shyvana', 'Irelia', "Kai'Sa", 'Karma'
'Karma', 'Olaf', 'Riven', 'Sivir', 'Soraka', 'Akali', 'Jarvan IV', 'Katarina', 'Ashe', 'Miss Fortune'
'Gangplank', 'Rengar', 'Yasuo', "Kai'Sa", 'Nautilus', 'Renekton', 'Lee Sin', 'Sylas', 'Syndra', 'Soraka'
'Mordekaiser', 'Amumu', 'Qiyana', 'Caitlyn', 'Morgana', 'Shen', "Kha'Zix", 'Aurelion Sol', 'Miss Fortune', 'Thresh'
'Aatrox', 'Elise', 'Fizz', 'Xayah', 'Lulu', 'Camille', 'Dr. Mundo', 'Ekko', 'Lucian', 'Yuumi'
'Ornn', 'Nidalee', 'Sylas', "Kai'Sa", 'Blitzcrank', 'Renekton', 'Elise', 'Fizz', 'Lucian', 'Alistar'
'Jax', 'Twitch', 'Aatrox', 'Xayah', 'Rakan', 'Renekton', 'Ekko', 'Talon', 'Lucian', "Vel'Koz"
'Jax', 'Malphite', 'Talon', 'Varus', 'Alistar', 'Master Yi', 'Jarvan IV', 'Veigar', 'Sivir', 'Blitzcrank'
'Aatrox', 'Xin Zhao', 'Malphite', 'Ezreal', 'Leona', 'Fiora', 'Jarvan IV', 'Neeko', "Kai'Sa", 'Pyke'
'Darius', 'Master Yi', 'Lux', 'Sivir', 'Karma', 'Jax', 'Jarvan IV', 'Lissandra', 'Ashe', 'Sona'
'Fiora', 'Lee Sin', 'Galio', 'Ezreal', 'Lulu', 'Jax', 'Ekko', 'Talon', "Kai'Sa", 'Thresh'
'Tryndamere', 'Shyvana', 'Garen', 'Jinx', 'Pyke', 'Viktor', 'Udyr', 'Neeko', 'Ezreal', 'Shen'
'Riven', 'Lee Sin', 'Yasuo', 'Caitlyn', 'Morgana', 'Swain', "Kha'Zix", 'Akali', 'Lucian', 'Rakan'
'Camille', 'Shaco', 'Vladimir', "Kog'Maw", 'Rakan', 'Aatrox', 'Ekko', 'Kassadin', 'Caitlyn', 'Blitzcrank'
'Camille', 'Ekko', 'Lucian', "Kai'Sa", 'Morgana', 'Aatrox', 'Karthus', 'Irelia', 'Ezreal', 'Karma'
'Mordekaiser', "Kha'Zix", 'Orianna', 'Caitlyn', 'Morgana', 'Aatrox', 'Karthus', 'Darius', 'Ezreal', 'Soraka'
'Viktor', 'Lee Sin', 'Syndra', 'Lucian', 'Veigar', 'Gangplank', 'Nidalee', 'Galio', 'Ezreal', 'Braum'
'Jayce', 'Lee Sin', 'Aurelion Sol', 'Jinx', 'Thresh', 'Aatrox', 'Elise', 'Shyvana', "Kai'Sa", 'Morgana'
'Camille', 'Nidalee', 'Galio', 'Ashe', 'Pyke', 'Akali', 'Nunu & Willump', 'Mordekaiser', "Kai'Sa", 'Nautilus'
'Fiora', 'Lee Sin', 'Fizz', "Kai'Sa", 'Morgana', 'Kassadin', 'Nunu & Willump', 'Ryze', 'Ezreal', 'Pyke'
'Aatrox', 'Pantheon', 'Malzahar', 'Xayah', 'Blitzcrank', 'Neeko', 'Taliyah', 'Ekko', 'Jayce', 'Camille'
'Mordekaiser', 'Graves', 'LeBlanc', "Kai'Sa", 'Thresh', 'Heimerdinger', "Rek'Sai", 'Camille', 'Jhin', 'Xerath'
'Renekton', 'Rengar', 'Kassadin', 'Jhin', 'Lux', 'Kennen', 'Nunu & Willump', 'Azir', "Kai'Sa", 'Braum'
'Kayle', 'Sivir', 'Garen', 'Janna', 'Brand', 'Graves', 'Blitzcrank', 'Vladimir', 'Shyvana', 'Ashe'
'Gangplank', 'Trundle', 'Galio', 'Yasuo', 'Blitzcrank', 'Lucian', 'Olaf', 'Fizz', 'Sivir', 'Thresh'
'Gangplank', 'Karthus', 'Zed', 'Ezreal', 'Braum', 'Ryze', 'Gragas', 'Talon', 'Draven', 'Blitzcrank'
'Fiora', 'Nidalee', 'Qiyana', "Kai'Sa", 'Blitzcrank', 'Irelia', 'Lee Sin', 'Malzahar', 'Lucian', 'Karma'
'Fiora', 'Ekko', 'Ryze', "Kai'Sa", 'Shen', 'Garen', 'Taliyah', 'Aatrox', 'Lucian', 'Blitzcrank'
'Pantheon', 'Lee Sin', 'Riven', 'Caitlyn', 'Jarvan IV', 'Ziggs', 'Azir', 'Neeko', 'Aatrox', 'Gragas'
'Gangplank', 'Elise', 'Qiyana', "Kai'Sa", 'Blitzcrank', 'Fiora', 'Taliyah', 'Yasuo', 'Tristana', 'Swain'
'Aatrox', 'Olaf', 'Akali', 'Swain', 'Alistar', 'Fiora', 'Nunu & Willump', 'Qiyana', "Kai'Sa", 'Blitzcrank'
'Quinn', 'Lee Sin', 'Garen', "Kai'Sa", 'Gragas', 'Irelia', 'Ekko', 'Talon', 'Ezreal', 'Blitzcrank'
'Gangplank', "Rek'Sai", 'Syndra', 'Sivir', 'Nautilus', 'Camille', 'Karthus', 'Galio', 'Miss Fortune', 'Blitzcrank'
'Galio', 'Elise', 'Pantheon', "Kai'Sa", 'Fiddlesticks', 'Dr. Mundo', 'Lee Sin', 'Lissandra', 'Lucian', 'Nautilus'
'Vladimir', 'Elise', 'Jayce', 'Ezreal', 'Lulu', 'Shen', 'Lee Sin', 'Twisted Fate', "Kai'Sa", 'Karma'
'Illaoi', 'Nunu & Willump', 'Zilean', 'Lucian', 'Blitzcrank', 'Trundle', 'Rengar', 'Rumble', 'Ashe', 'Lulu'
'Vladimir', 'Xin Zhao', 'Talon', 'Ezreal', 'Lulu', 'Aatrox', 'Elise', 'Katarina', "Kai'Sa", 'Blitzcrank'
'Camille', 'Ekko', 'Orianna', "Kai'Sa", 'Blitzcrank', 'Aatrox', 'Olaf', 'Zoe', 'Xayah', 'Zyra'
'Darius', 'Nidalee', 'Ryze', 'Jinx', 'Leona', 'Lulu', 'Elise', 'Talon', 'Xayah', 'Morgana'
'Camille', 'Taliyah', 'Ryze', 'Lucian', 'Zilean', 'Kayle', 'Elise', 'Pyke', 'Ezreal', 'Soraka'
'Malphite', 'Swain', 'Nunu & Willump', 'Volibear', 'Jhin', 'Rakan', 'Jayce', 'Galio', 'Singed', "Kog'Maw"
'Singed', 'Nunu & Willump', 'Pantheon', 'Varus', 'Pyke', 'Akali', 'Shyvana', 'Irelia', 'Ashe', 'Morgana'
'Quinn', 'Gragas', 'Yasuo', 'Sivir', 'Nautilus', 'Fiora', 'Lee Sin', 'Gangplank', "Kai'Sa", 'Taric'
'Sivir', 'Lucian', 'Varus', 'Azir', 'Galio', 'Teemo', 'Jhin', 'Aurelion Sol', 'Gangplank', 'LeBlanc'
'Mordekaiser', 'Xin Zhao', 'Talon', 'Ezreal', 'Pyke', 'Zilean', "Rek'Sai", 'Yasuo', "Kai'Sa", 'Nautilus'
'Mordekaiser', 'Olaf', 'Zed', 'Jinx', 'Thresh', 'Aatrox', 'Jarvan IV', 'Akali', 'Ashe', 'Alistar'
"Cho'Gath", 'Pantheon', "Vel'Koz", 'Miss Fortune', 'Thresh', 'Zilean', 'Lee Sin', 'Zed', "Kai'Sa", 'Fiddlesticks'
'Pantheon', 'Karthus', 'Aatrox', 'Lucian', 'Bard', 'Mordekaiser', 'Taliyah', 'Twisted Fate', "Kai'Sa", 'Nautilus'
'Zilean', 'Ekko', 'Zed', 'Ezreal', 'Pyke', 'Zoe', 'Rammus', 'Malphite', "Kai'Sa", 'Leona'
'Renekton', 'Nidalee', 'Twisted Fate', 'Jinx', 'Leona', 'Gangplank', 'Ekko', 'Zed', 'Caitlyn', 'Thresh'
'Camille', 'Evelynn', 'Zoe', "Kai'Sa", 'Nautilus', "Cho'Gath", 'Lee Sin', 'LeBlanc', 'Xayah', 'Rakan'
'Lucian', 'Shyvana', 'Pantheon', 'Xayah', 'Rakan', 'Jayce', 'Nidalee', 'Zed', 'Jinx', 'Leona'
'Rengar', 'Nidalee', 'Zed', 'Sivir', 'Nautilus', 'Kayle', 'Graves', 'Qiyana', 'Xayah', 'Karma'
'Neeko', 'Nidalee', 'Zed', 'Lucian', 'Janna', 'Shen', 'Taliyah', 'Pyke', 'Xayah', 'Leona'
'Irelia', 'Ekko', 'Zed', 'Miss Fortune', 'Morgana', 'Viktor', 'Nidalee', 'Talon', 'Lucian', 'Nautilus'
'Jax', 'Lee Sin', 'Rumble', "Kai'Sa", 'Thresh', 'Fiora', 'Elise', 'Zed', 'Lucian', 'Rakan'
'Aatrox', 'Lee Sin', 'LeBlanc', "Kai'Sa", 'Nautilus', 'Camille', 'Nidalee', 'Mordekaiser', 'Lucian', 'Leona'
'Jayce', 'Karthus', 'Cassiopeia', "Kai'Sa", 'Nami', 'Rumble', 'Elise', 'Zed', 'Lucian', 'Bard'
'Shen', 'Lux', 'Fiddlesticks', 'Diana', 'Kindred', 'Cassiopeia', 'Garen', 'Heimerdinger', 'Sivir', 'Blitzcrank'
'Jax', 'Elise', 'Ryze', 'Vayne', 'Pyke', 'Kayle', 'Nidalee', 'Ezreal', 'Vladimir', 'Yuumi'
'Heimerdinger', 'Pantheon', 'Wukong', 'Ashe', 'Veigar', 'Riven', 'Taliyah', 'Lucian', 'Garen', 'Yuumi'
'Aatrox', 'Ekko', 'Ezreal', 'Tristana', 'Thresh', 'Yasuo', "Kai'Sa", 'Irelia', 'Lucian', 'Karma'
'Aatrox', 'Lee Sin', 'Katarina', 'Ashe', 'Yuumi', 'Garen', 'Lee Sin', 'Irelia', 'Ashe', 'Nautilus'
'Ryze', 'Warwick', 'Varus', 'Kassadin', 'Pantheon', 'Tristana', 'Pyke', 'Singed', 'Dr. Mundo', 'Ahri'
'Corki', 'Qiyana', 'Kayle', 'Akali', 'Zed', 'Shaco', 'Ekko', 'Tristana', "Kai'Sa", 'Jarvan IV'
'Ryze', 'Riven', 'Shaco', 'Lux', 'Zoe', 'Teemo', "Kog'Maw", 'Kindred', 'Kassadin', 'Gangplank'
'Diana', 'Corki', 'Graves', 'Nidalee', 'Jhin', 'Karma', 'Evelynn', "Kog'Maw", 'Irelia', 'Alistar'
'Mordekaiser', 'Urgot', 'Neeko', 'Ezreal', 'Malphite', 'Jayce', 'Vi', 'Lissandra', 'Lucian', 'Shen'
'Darius', 'Ekko', 'Garen', 'Ashe', 'Nautilus', 'Lissandra', "Kha'Zix", 'Ashe', 'Jinx', 'Pyke'
'Renekton', 'Garen', 'Ornn', "Kai'Sa", 'Thresh', 'Ryze', 'Hecarim', 'Jayce', 'Ashe', 'Nami'
'Karthus', 'Soraka', 'Thresh', 'Shyvana', 'Fizz', 'Maokai', 'Pyke', 'Riven', 'Shen', 'Mordekaiser'
'Jax', 'Lee Sin', 'Galio', 'Jhin', 'Garen', 'Graves', 'Kassadin', 'Garen', 'Katarina', 'Morgana'
'Garen', 'Shaco', 'Tristana', 'Nautilus', 'Yuumi', 'Kennen', 'Shaco', 'Akali', "Kai'Sa", 'Karma'
'Fiora', 'Nidalee', 'Tristana', 'Sivir', 'Blitzcrank', 'Vayne', 'Taliyah', 'Ekko', 'Ezreal', 'Thresh'
'Poppy', "Rek'Sai", 'Twisted Fate', "Kai'Sa", 'Fiddlesticks', 'Renekton', 'Elise', 'Tristana', 'Ezreal', 'Karma'
'Akali', 'Jarvan IV', 'Twisted Fate', 'Xayah', 'Blitzcrank', 'Rumble', 'Gragas', 'Tristana', 'Lucian', 'Leona'
'Gnar', 'Elise', 'Tristana', 'Xayah', 'Rakan', 'Hecarim', 'Lee Sin', 'LeBlanc', 'Lucian', 'Gragas'
'Tristana', 'Gragas', 'Kayle', 'Ezreal', 'Blitzcrank', 'Shen', 'Ekko', 'Qiyana', 'Lucian', 'Pyke'
'Tristana', "Rek'Sai", 'Shen', 'Lucian', 'Neeko', 'Camille', 'Elise', 'Renekton', "Kai'Sa", 'Leona'
'Gangplank', 'Elise', 'Tristana', 'Lucian', 'Rakan', 'Irelia', 'Nidalee', 'Katarina', "Kai'Sa", 'Thresh'
'Karma', 'Lee Sin', 'Yasuo', 'Tristana', 'Rakan', 'Kled', 'Elise', 'Lissandra', "Kai'Sa", 'Pyke'
'Rengar', 'Jarvan IV', 'Twisted Fate', 'Lucian', 'Karma', 'Gragas', 'Elise', 'Tristana', "Kai'Sa", 'Nautilus'
'Jayce', 'Gragas', 'Yasuo', "Kai'Sa", 'Thresh', 'Irelia', 'Olaf', 'Ezreal', 'Garen', 'Yuumi'
'Ornn', "Rek'Sai", 'Zoe', "Kai'Sa", 'Pyke', 'Kayle', 'Nidalee', 'Zilean', 'Jhin', 'Leona'
'Jarvan IV', 'Lee Sin', 'Tristana', 'Ezreal', "Vel'Koz", 'Kayle', 'Elise', 'Jayce', 'Lucian', 'Braum'
'Ryze', 'Pantheon', 'Akali', 'Tristana', 'Blitzcrank', 'Vayne', 'Qiyana', 'Ahri', 'Lucian', 'Pyke'
'Fiora', 'Garen', 'Akali', 'Ezreal', 'Pantheon', 'Udyr', 'Garen', 'Veigar', 'Lucian', 'Rakan'
'Dr. Mundo', 'Lee Sin', 'Viktor', 'Lucian', 'Braum', 'Ornn', 'Master Yi', 'Yasuo', "Kai'Sa", 'Ashe'
'Garen', 'Jarvan IV', 'Talon', 'Lucian', 'Blitzcrank', 'Kled', 'Karthus', 'Twisted Fate', 'Miss Fortune', 'Pyke'
'Orianna', "Kha'Zix", 'Teemo', 'Ashe', 'Blitzcrank', 'Gangplank', 'Ekko', 'Zoe', 'Miss Fortune', 'Pyke'
'Neeko', 'Lee Sin', 'Xerath', 'Ezreal', 'Rakan', 'Pantheon', 'Elise', 'Twisted Fate', 'Xayah', 'Pyke'
'Aatrox', 'Zac', 'Cassiopeia', 'Lucian', 'Braum', 'Camille', "Kha'Zix", 'Galio', "Kai'Sa", 'Morgana'
'Garen', 'Taliyah', 'Ryze', "Kai'Sa", 'Blitzcrank', 'Pantheon', 'Zac', 'Yasuo', 'Ashe', 'Braum'
'Garen', 'Nidalee', 'Cassiopeia', 'Jayce', 'Nautilus', 'Ryze', 'Elise', 'Lucian', 'Jinx', 'Braum'
'Jayce', "Rek'Sai", 'Malzahar', 'Sivir', 'Xerath', 'Gangplank', 'Xin Zhao', 'Vladimir', 'Ashe', 'Braum'
'Camille', 'Elise', 'Yasuo', 'Ashe', 'Braum', 'Heimerdinger', 'Zac', 'Lissandra', 'Lucian', 'Leona'
'Skarner', 'Lee Sin', 'Akali', 'Jhin', 'Blitzcrank', 'Yorick', 'Shaco', 'Pyke', 'Ezreal', 'Bard'
'Jax', 'Ekko', 'Sylas', 'Xayah', 'Morgana', 'Malphite', 'Lee Sin', 'Pyke', "Kai'Sa", 'Janna'
'Annie', 'Orianna', 'Nami', 'Vi', 'Jax', 'Vayne', 'Karthus', 'Xin Zhao', 'Urgot', 'Evelynn'
'Kennen', 'Jarvan IV', 'Pantheon', 'Lucian', 'Morgana', 'Kled', 'Nunu & Willump', 'Corki', 'Xayah', 'Blitzcrank'
'Taric', 'Master Yi', 'Jax', "Kai'Sa", 'Zilean', 'Akali', 'Camille', 'LeBlanc', 'Xayah', 'Janna'
'Aatrox', 'Elise', 'Talon', 'Xayah', 'Pyke', 'Renekton', 'Lee Sin', 'Shen', 'Jinx', 'Karma'
'Ornn', 'Master Yi', 'Taric', "Kai'Sa", 'Nautilus', 'Malphite', 'Ekko', 'Ryze', 'Ezreal', 'Braum'
'Irelia', 'Gragas', 'Kled', 'Xayah', 'Bard', 'Gangplank', 'Karthus', 'Ahri', 'Sivir', 'Shen'
'Gangplank', 'Karthus', 'Yasuo', 'Xayah', 'Pyke', 'Kled', 'Elise', 'Zoe', 'Sivir', 'Thresh'
'Renekton', 'Kindred', 'Sylas', 'Yasuo', 'Braum', 'Shen', 'Gragas', 'Zoe', 'Xayah', 'Nautilus'
'Fiora', 'Elise', 'Zoe', 'Sivir', 'Thresh', 'Gangplank', 'Graves', 'Pantheon', 'Heimerdinger', 'Zyra'
'Gangplank', "Rek'Sai", "Vel'Koz", 'Lucian', 'Janna', 'Zilean', 'Gragas', 'Yasuo', 'Xayah', 'Thresh'
'Jax', 'Lee Sin', 'Pantheon', "Kai'Sa", 'Galio', 'Kayle', 'Vi', 'Malzahar', 'Lucian', 'Blitzcrank'
'Malzahar', 'Lee Sin', 'Lissandra', "Kai'Sa", 'Nautilus', 'Garen', 'Nidalee', 'Zoe', 'Lucian', 'Blitzcrank'
'Irelia', "Rek'Sai", 'Akali', 'Caitlyn', 'Morgana', 'Shen', 'Lee Sin', 'Cassiopeia', 'Ezreal', 'Nami'
'Garen', 'Lee Sin', 'Zoe', 'Lucian', 'Blitzcrank', 'Fiora', 'Ekko', 'Fizz', 'Jinx', 'Thresh'
'Fiora', 'Lee Sin', 'Irelia', 'Ashe', 'Xerath', 'Illaoi', 'Karthus', 'Ahri', 'Ezreal', 'Yuumi'
'Kayle', 'Lee Sin', 'Vladimir', 'Jhin', 'Zyra', 'Yorick', 'Zac', 'Yasuo', 'Jinx', 'Karma'
'Irelia', 'Taliyah', 'Jayce', 'Lucian', 'Shen', 'Akali', 'Karthus', 'Quinn', 'Ezreal', 'Pyke'
'Renekton', 'Lee Sin', 'Katarina', 'Lucian', 'Soraka', 'Kayle', 'Vi', 'Vladimir', "Kai'Sa", 'Karma'
'Irelia', "Rek'Sai", 'Camille', 'Ezreal', 'Karma', 'Aatrox', "Kha'Zix", 'Ahri', 'Ashe', 'Janna'
'Vladimir', 'Lee Sin', 'Qiyana', 'Draven', 'Janna', 'Camille', 'Ekko', 'Galio', 'Ezreal', "Vel'Koz"
'Jax', 'Taliyah', 'Galio', 'Lucian', 'Braum', 'Rengar', 'Graves', 'Ezreal', "Kai'Sa", 'Nautilus'
'Aatrox', 'Lee Sin', 'Zoe', 'Ashe', 'Poppy', 'Pantheon', 'Nidalee', 'Yasuo', 'Heimerdinger', 'Gragas'
'Pyke', 'Karthus', 'Ornn', 'Xayah', 'Xerath', 'Qiyana', 'Xin Zhao', 'Kayle', 'Lucian', 'Poppy'
'Pantheon', 'Ekko', 'Orianna', 'Ashe', 'Nautilus', 'Zilean', 'Poppy', 'Sylas', 'Xayah', 'Blitzcrank'
'Morgana', 'Nidalee', 'Graves', 'Janna', 'Teemo', 'Diana', 'Illaoi', 'Veigar', 'Akali', 'Ziggs'
'Vladimir', 'Lee Sin', 'Lissandra', 'Twitch', 'Morgana', 'Yasuo', 'Poppy', 'Ryze', 'Ezreal', 'Rakan'
'Rumble', 'Amumu', 'Diana', 'Lucian', 'Pyke', 'Illaoi', 'Dr. Mundo', 'Anivia', "Kog'Maw", 'Blitzcrank'
'Ornn', 'Udyr', 'LeBlanc', 'Xayah', 'Swain', 'Rengar', 'Jarvan IV', 'Lissandra', "Kai'Sa", 'Blitzcrank'
'Kayle', 'Ekko', 'Yasuo', 'Draven', 'Soraka', 'Fiora', 'Poppy', 'Garen', 'Tristana', 'Pyke'
'Kennen', "Kha'Zix", 'Viktor', 'Kindred', 'Blitzcrank', 'Ryze', 'Poppy', 'Zoe', 'Lucian', 'Pyke'
'Teemo', 'Poppy', 'Irelia', 'Jinx', 'Pyke', 'Vladimir', 'Nidalee', 'Aurelion Sol', 'Yasuo', 'Rakan'
'Gangplank', 'Poppy', 'Karthus', 'Ezreal', 'Pyke', 'Malphite', 'Ekko', 'Aatrox', "Kai'Sa", 'Yuumi'
'Pantheon', 'Poppy', 'Camille', 'Miss Fortune', 'Alistar', 'Gangplank', 'Lee Sin', 'Lissandra', "Kai'Sa", 'Illaoi'
'Camille', 'Poppy', 'Aurelion Sol', 'Xayah', 'Rakan', 'Jax', 'Nidalee', 'Pyke', 'Ezreal', 'Leona'
'Vladimir', 'Poppy', 'Ryze', 'Yasuo', 'Pyke', 'Ahri', 'Nunu & Willump', 'Aatrox', 'Rumble', 'Galio'
'Jax', 'Olaf', 'Akali', 'Ezreal', 'Thresh', 'Rengar', 'Lee Sin', 'Zoe', "Kai'Sa", 'Morgana'
'Poppy', 'Ekko', "Vel'Koz", "Kai'Sa", 'Pyke', 'Camille', 'Lee Sin', 'Ryze', 'Lucian', 'Rakan'
'Karma', 'Lee Sin', 'Kassadin', 'Jinx', 'Tahm Kench', 'Kayle', 'Qiyana', 'Galio', 'Caitlyn', 'Morgana'
'Camille', "Rek'Sai", 'Rumble', 'Ashe', 'Nautilus', 'Darius', 'Nidalee', 'Pantheon', 'Caitlyn', 'Morgana'
'Camille', 'Karthus', 'Irelia', "Kai'Sa", 'Gragas', 'Kled', 'Nidalee', 'Heimerdinger', 'Malphite', 'Tahm Kench'
'Jayce', 'Gragas', 'Ryze', "Kai'Sa", 'Alistar', 'Kled', 'Nidalee', 'Akali', 'Ezreal', 'Thresh'
